Year,Amount,Neighborhood,LAT,LON,Crime Score,Label
2010,984,Broadway-Manchester,33.9469185,-118.275892,699.8585000000003,L295
2010,"1,020",North Hills,34.230017,-118.4631875,373.9236,L296
2010,"1,609",Studio City,34.146964000000004,-118.40929950000002,172.64600000000004,L297
2010,913,Long Beach,33.8678635,-118.1977305,0.0,L298
2010,895,Rosemead,34.0795,-118.06021,0.0,L299
2010,"1,317",Arcadia,34.1299445,-118.058709,0.0,L300
2010,900,Huntington Park,33.9775735,-118.238836,0.4122,L301
2010,"1,455",North Whittier,34.017294,-118.0367865,0.0,L302
2010,"1,018",Long Beach,33.855556,-118.172465,0.0,L303
2010,"1,259",Westchester,33.955837,-118.4023185,35.35459999999999,L304
2010,"1,066",Highland Park,34.1213355,-118.1819855,76.44059999999998,L305
2010,"1,456",Covina,34.08987,-117.8989325,0.0,L306
2010,980,Hawthorne,33.9073785,-118.3308455,0.0,L307
2010,"1,007",North Hollywood,34.177602,-118.3746645,268.8912,L308
2010,"1,194",Pico Rivera,33.984009,-118.08689950000002,0.0,L309
2010,"2,000",Claremont,34.1434785,-117.71720249999998,0.0,L310
2010,"1,726",Diamond Bar,33.992503,-117.8345605,0.0,L311
2010,"1,092",Harbor City,33.786479,-118.3043115,98.70630000000004,L312
2010,"1,456",Downtown,34.0565345,-118.2528675,296.7934,L313
2010,"1,577",Beverly Grove,34.079028,-118.370116,151.7744,L314
2010,"1,082",Sun Valley,34.2330185,-118.391909,147.46599999999995,L315
2010,928,East Los Angeles,34.026127,-118.186209,0.0,L316
2010,"1,206",Long Beach,33.76441139,-118.1605362,0.0,L317
2010,799,Watts,33.948204,-118.238625,543.7748000000001,L318
2010,"1,028",Mar Vista,34.0022415,-118.4275865,114.771,L319
2010,775,Westlake,34.0564435,-118.2723635,1590.6265999999994,L320
2010,"2,000",Cerritos,33.8524445,-118.0548455,0.0,L321
2010,"1,397",Pico-Robertson,34.06116,-118.3804405,122.02409999999998,L322
2010,"1,960",Westwood,34.051314500000004,-118.4415325,227.3113,L323
2010,"1,654",Long Beach,33.7912135,-118.125115,0.0,L324
2010,"1,370",San Pasqual,34.139062,-118.1101745,0.0,L325
2010,"1,844",La Verne,34.1109685,-117.7780265,0.0,L326
2010,"1,452",La Mirada,33.8968395,-118.0030395,0.0,L327
2010,"1,229",North Hollywood,34.176766,-118.3921365,142.781,L328
2010,"1,009",Pacoima,34.279058,-118.411554,231.2966,L329
2010,"1,962",San Dimas,34.09104,-117.846365,0.0,L330
2010,"1,540",Hacienda Heights,33.9992735,-117.971451,0.0,L331
2010,"1,741",Redondo Beach,33.835159000000004,-118.379359,0.0,L332
2010,"1,103",El Monte,34.0700755,-118.01255249999998,0.0,L333
2010,"1,390",Carson,33.852461,-118.257305,0.0,L334
2010,826,Hollywood,34.094379499999995,-118.3244635,571.9386,L335
2010,"1,763",Cheviot Hills,34.043327000000005,-118.4043575,13.7322,L336
2010,,Long Beach,33.778316,-118.118802,0.0,L337
2010,"1,400",Whittier,33.961402,-118.0467605,0.0,L338
2010,"1,086",Sylmar,34.3132585,-118.440082,215.77889999999988,L339
2010,849,Bell Gardens,33.958433500000005,-118.167006,0.0,L340
2010,"1,460",San Pedro,33.753682500000004,-118.300135,50.944499999999984,L341
2010,"1,100",Canoga Park,34.227624,-118.59227,175.25599999999997,L342
2010,993,Koreatown,34.0560675,-118.30536399999998,461.8763,L343
2010,"2,000",La Canada Flintridge,34.1946605,-118.196153,0.0,L344
2010,809,Huntington Park,33.983227,-118.2208325,0.0,L345
2010,"1,181",Glendale,34.1490075,-118.259807,2.267,L346
